status	layer	group	contract_or_function	owner	result	evidence
PASS	DESKTOP_PAGE	desktop	概览	DesktopWindow	桌面页面运行时、布局与交互契约已验证	真实 Windows 窗口捕获；生产组件在 1080×720 与 920×640 逐页渲染；即时设置及 API/Worker 启停探针通过
PASS	DESKTOP_PAGE	desktop	任务中心	DesktopWindow	桌面页面运行时、布局与交互契约已验证	真实 Windows 窗口捕获；生产组件在 1080×720 与 920×640 逐页渲染；即时设置及 API/Worker 启停探针通过
PASS	DESKTOP_PAGE	desktop	运行日志	DesktopWindow	桌面页面运行时、布局与交互契约已验证	真实 Windows 窗口捕获；生产组件在 1080×720 与 920×640 逐页渲染；即时设置及 API/Worker 启停探针通过
PASS	DESKTOP_PAGE	desktop	设置	DesktopWindow	桌面页面运行时、布局与交互契约已验证	真实 Windows 窗口捕获；生产组件在 1080×720 与 920×640 逐页渲染；即时设置及 API/Worker 启停探针通过
FIXED	FRONTEND_ROUTE	router	bookshelf	/	AUDIT-013/AUDIT-017	五个正式路由均经 Playwright 视觉回归与内置浏览器桌面、390×844 实机检查，无页面级溢出、破图或控制台错误
PASS	FRONTEND_ROUTE	router	character-studio	/insight/character-studio	路由与页面 owner 契约已验证	五个正式路由均经 Playwright 视觉回归与内置浏览器桌面、390×844 实机检查，无页面级溢出、破图或控制台错误
FIXED	FRONTEND_ROUTE	router	insight	/insight	AUDIT-049/AUDIT-060/AUDIT-062	五个正式路由均经 Playwright 视觉回归与内置浏览器桌面、390×844 实机检查，无页面级溢出、破图或控制台错误
PASS	FRONTEND_ROUTE	router	reader	/reader	路由与页面 owner 契约已验证	五个正式路由均经 Playwright 视觉回归与内置浏览器桌面、390×844 实机检查，无页面级溢出、破图或控制台错误
FIXED	FRONTEND_ROUTE	router	translate	/translate	AUDIT-098/AUDIT-110/AUDIT-111/AUDIT-126/AUDIT-128	五个正式路由均经 Playwright 视觉回归与内置浏览器桌面、390×844 实机检查，无页面级溢出、破图或控制台错误
PASS	FRONTEND_SETTINGS_TAB	settings	detection	DetectionSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	hq	HqTranslationSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	more	MoreSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	ocr	OcrSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	plugins	PluginManager.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	prompt-library	PromptLibrary.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	proofreading	ProofreadingSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	text-defaults	TextStyleDefaultsSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	FRONTEND_SETTINGS_TAB	settings	translate	TranslationSettings.vue	SettingsModal 当前页签与表单交互契约已验证	九个设置页签均有 Playwright 视觉基线；内置浏览器弹层尺寸、滚动与窄屏边界通过
PASS	HTTP	system	GET /health	getV2Health	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	system	GET /system/server-info	getServerInfo	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	system	POST /system/release-models	releaseWorkerModelCache	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	GET /settings	getSettings	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	DELETE /credentials/{credential_id}	deleteCredential	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	PUT /settings/transactions	saveSettingsTransaction	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	PATCH /settings/workflow-preferences	updateWorkflowPreferences	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	GET /prompts	listPrompts	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	POST /prompts	createPrompt	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	PUT /prompts/{prompt_id}	updatePrompt	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	DELETE /prompts/{prompt_id}	deletePrompt	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	POST /prompts/{prompt_id}/reset	resetPrompt	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	POST /model-catalog	fetchModelCatalog	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	POST /connection-tests/{kind}	runConnectionTest	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	GET /fonts	listFonts	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	POST /fonts	uploadFont	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	DELETE /fonts/{font_id}	deleteFont	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	settings	POST /maintenance/clean-temp	cleanTemporaryAssets	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	POST /pages/{page_id}/repairs	createPageRepairOperation	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	GET /operations/{operation_id}	getOperation	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	GET /operations/{operation_id}/events	getOperationEvents	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	POST /pages/{page_id}/operations	createPageOperation	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /jobs	listJobs	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /jobs/events	streamJobEvents	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /jobs/snapshot	getJobSnapshot	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /jobs/{job_id}	getJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /jobs/{job_id}/events	listJobEvents	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/{job_id}/pause	pauseRunningJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/{job_id}/resume	resumePausedJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/{job_id}/cancel	cancelJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/{job_id}/retry	retryFailedJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/{job_id}/retry-failed	retryFailedJobItems	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
