status	group	path	lines	main_relation	result	evidence
PASS	project-config-docs-scripts	.editorconfig	L1-L43	UNCHANGED	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
FIXED	project-config-docs-scripts	.github/workflows/release.yml	L1-L396	MODIFIED	CPU/GPU 构建、版本校验、完整门禁、生成物与失败摘要闭合	AUDIT-154；YAML 解析与打包契约测试通过
FIXED	project-config-docs-scripts	.gitignore	L1-L92	MODIFIED	AUDIT-164	根目录依赖缓存与独立临时探针目录纳入生成物忽略边界
PASS	project-config-docs-scripts	LICENSE	L1-L674	UNCHANGED	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
FIXED	project-config-docs-scripts	README.md	L1-L427	MODIFIED	用户文档已与当前功能、平台和无迁移数据策略对齐	AUDIT-155；本地资源引用闭包及启动入口核对
FIXED	project-config-docs-scripts	alembic.ini	L1-L39	NEW	只保留当前 foundation revision 所需 Alembic 配置	AUDIT-155；Alembic 配置解析与存储测试通过
PASS	project-config-docs-scripts	app.spec	L1-L311	MODIFIED	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
FIXED	project-config-docs-scripts	docs/refactor/backend-first-architecture-plan.md	L1-L4081	NEW	最终架构基线逐领域与实现同步；删除旧对照入口描述；AUDIT-169 统一 CLI/GUI 本机监听默认值	AUDIT-007/AUDIT-155/AUDIT-159/AUDIT-162/AUDIT-169；全文契约搜索与全量门禁通过
FIXED	project-config-docs-scripts	openapi/v2.yaml	L1-L7920	NEW	181 条当前 HTTP operation 与运行时路由、生成类型完整闭包；AUDIT-168 删除 Studio 伪上限；AUDIT-170 同步真实 URL 边界	确定性生成哈希、运行时 route coverage、AUDIT-168/AUDIT-170 定向测试与 Backend 全量测试通过
PASS	plugins	plugins/README.md	L1-L159	MODIFIED	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
PASS	plugins	plugins/pipeline_lifecycle_plugin/plugin.json	L1-L27	NEW	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
PASS	plugins	plugins/pipeline_lifecycle_plugin/plugin.py	L1-L32	MODIFIED	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
PASS	plugins	plugins/style_mutation_plugin/plugin.json	L1-L53	NEW	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
PASS	plugins	plugins/style_mutation_plugin/plugin.py	L1-L39	MODIFIED	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
PASS	plugins	plugins/text_mutation_plugin/plugin.json	L1-L42	NEW	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
