status	group	main_path	main_lines	replacement_or_reason	evidence
DELETE-VERIFIED	main-old-backend-app	src/app/__init__.py	L1-L32	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/__init__.py	L1-L25	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/api_docs.py	L1-L269	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/bookshelf_api.py	L1-L672	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/config_api.py	L1-L347	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/__init__.py	L1-L21	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/analysis_routes.py	L1-L326	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/async_helpers.py	L1-L64	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/character_studio_routes.py	L1-L521	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/chat_routes.py	L1-L158	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/config_routes.py	L1-L328	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/__init__.py	L1-L26	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/character_routes.py	L1-L494	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/export_routes.py	L1-L137	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/file_routes.py	L1-L78	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/helpers.py	L1-L66	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/image_routes.py	L1-L392	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/continuation/story_routes.py	L1-L144	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/data_routes.py	L1-L765	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/reanalyze_routes.py	L1-L166	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/manga_insight/response_builder.py	L1-L224	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/page_storage_api.py	L1-L205	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/session_api.py	L1-L301	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/__init__.py	L1-L58	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/downloads.py	L1-L519	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/files.py	L1-L134	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/fonts.py	L1-L222	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/gpu.py	L1-L142	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/mobi_handler.py	L1-L347	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/pdf_handler.py	L1-L322	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/plugin_agent.py	L1-L260	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/plugins.py	L1-L261	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/system/tests.py	L1-L804	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/translation/__init__.py	L1-L44	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/translation/parallel_routes.py	L1-L808	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/translation/pipeline_routes.py	L1-L130	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/api/translation/routes.py	L1-L1987	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
