status	scope	group	path	bytes	main_relation	result	evidence
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/Editor.png	2345360	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/after1.png	6604440	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/after2.png	7546026	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/alipay_qrcode.png	141512	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/analysis-display.png	915851	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/analysis-overview.png	411928	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/before1.png	1134851	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/before2.png	1122421	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/book-details.png	226150	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/bookshelf-display.png	904141	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/global-mode.png	277157	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/interface.png	1805865	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/logo.png	863677	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/timeline.png	950585	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	frontend-assets	pic/wechat_qrcode.png	66603	UNCHANGED	当前资源格式、引用和打包边界已验证	图片/图标解码成功；README、Vue public 或视觉测试引用路径闭合
RESOURCE-VERIFIED	CURRENT	desktop-assets	src/backend_v2/desktop/assets/app-icon.ico	148815	NEW	当前资源格式、引用和打包边界已验证	PNG/ICO/WEBP 解码、尺寸、alpha/圆角与打包路径通过；桌宠 13 状态 atlas 完整
RESOURCE-VERIFIED	CURRENT	desktop-assets	src/backend_v2/desktop/assets/app-icon.png	929989	NEW	当前资源格式、引用和打包边界已验证	PNG/ICO/WEBP 解码、尺寸、alpha/圆角与打包路径通过；桌宠 13 状态 atlas 完整
RESOURCE-VERIFIED	CURRENT	desktop-assets	src/backend_v2/desktop/assets/pet/saber_chan/spritesheet.webp	2043154	NEW	当前资源格式、引用和打包边界已验证	PNG/ICO/WEBP 解码、尺寸、alpha/圆角与打包路径通过；桌宠 13 状态 atlas 完整
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/ALGER.TTF	76588	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/Arial_Unicode.ttf	23278008	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/ChisugaShotai_Regular0.2.12.1.ttf	25194484	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/NotoSans-Medium.ttf	631052	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/SIMLI.TTF	9223160	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/SIMYOU.TTF	6700204	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/STCAIYUN.TTF	5673836	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
RESOURCE-VERIFIED	CURRENT	backend-resources	src/backend_v2/resources/fonts/STFANGSO.TTF	11362788	NEW	当前资源格式、引用和打包边界已验证	字体文件可解析；与 main 原字体按 SHA-256 一一对应，当前渲染器与 PyInstaller 资源路径核对完成
